CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment
12346,326,2,0.0,1,2,1,121,4,At Risk
12347,2,7,4310.0,5,4,5,545,14,VIP
12348,75,4,1797.24,2,3,4,234,9,Loyal
12349,19,1,1757.55,4,1,4,414,9,Loyal
12350,310,1,334.4,1,1,2,112,4,At Risk
12352,36,11,1545.41,3,5,4,354,12,VIP
12353,204,1,89.0,1,1,1,111,3,At Risk
12354,232,1,1079.4,1,1,4,114,6,Regular
12355,214,1,459.4,1,1,2,112,4,At Risk
12356,23,3,2811.43,4,3,5,435,12,VIP
12357,33,1,6207.67,3,1,5,315,9,Loyal
12358,2,2,1168.06,5,2,4,524,11,Loyal
12359,8,6,6182.9800000000005,5,4,5,545,14,VIP
12360,52,3,2662.06,3,3,5,335,11,Loyal
12361,287,1,189.9,1,1,1,111,3,At Risk
12362,3,13,5154.58,5,5,5,555,15,VIP
12363,110,2,552.0,2,2,3,223,7,Regular
12364,8,4,1313.1,5,3,4,534,12,VIP
12365,291,3,320.69,1,3,2,132,6,Regular
12367,4,1,168.9,5,1,1,511,7,Regular
12370,51,4,3541.94,3,3,5,335,11,Loyal
12371,45,2,1887.96,3,2,4,324,9,Loyal
12372,72,3,1298.04,2,3,4,234,9,Loyal
12373,311,1,364.6,1,1,2,112,4,At Risk
12374,25,1,742.9300000000001,4,1,3,413,8,Regular
12375,3,3,455.42,5,3,2,532,10,Loyal
12377,315,2,1628.12,1,2,4,124,7,Regular
12378,130,1,4008.62,2,1,5,215,8,Regular
12379,82,3,850.29,2,3,3,233,8,Regular
12380,22,5,2720.56,4,4,5,445,13,VIP
12381,5,6,1803.96,5,4,4,544,13,VIP
12383,185,6,1839.31,1,4,4,144,9,Loyal
12384,29,3,566.16,4,3,3,433,10,Loyal
12386,338,2,401.9,1,2,2,122,5,At Risk
12388,16,6,2780.66,4,4,5,445,13,VIP
12390,80,1,549.84,2,1,3,213,6,Regular
12391,22,1,439.66,4,1,2,412,7,Regular
12393,72,4,1582.6000000000001,2,4,4,244,10,Loyal
12394,64,2,1272.48,3,2,4,324,9,Loyal
12395,16,15,2998.28,4,5,5,455,14,VIP
12397,36,2,2409.9,3,2,5,325,10,Loyal
12398,46,1,1635.6599999999999,3,1,4,314,8,Regular
12399,119,4,1108.65,2,4,4,244,10,Loyal
12401,303,1,84.3,1,1,1,111,3,At Risk
12402,323,1,225.6,1,1,1,111,3,At Risk
12403,50,2,409.7,3,2,2,322,7,Regular
12405,149,1,1710.39,2,1,4,214,7,Regular
12406,22,3,3280.75,4,3,5,435,12,VIP
12407,50,5,1708.1200000000001,3,4,4,344,11,Loyal
12408,33,9,2842.57,3,5,5,355,13,VIP
12409,79,7,11056.93,2,4,5,245,11,Loyal
12410,301,3,681.0799999999999,1,3,3,133,7,Regular
12412,75,3,1226.88,2,3,4,234,9,Loyal
12413,67,5,694.15,3,4,3,343,10,Loyal
12414,217,3,562.41,1,3,3,133,7,Regular
12415,24,26,123725.45,4,5,5,455,14,VIP
12417,3,12,3578.8,5,5,5,555,15,VIP
12418,113,1,668.58,2,1,3,213,6,Regular
12420,64,1,600.39,3,1,3,313,7,Regular
12421,16,5,806.27,4,4,3,443,11,Loyal
12422,96,3,803.5600000000001,2,3,3,233,8,Regular
12423,1,9,1849.11,5,5,4,554,14,VIP
12424,163,2,1760.96,2,2,4,224,8,Regular
12425,78,1,777.2,2,1,3,213,6,Regular
12426,195,1,582.73,1,1,3,113,5,At Risk
12427,12,5,708.37,4,4,3,443,11,Loyal
12428,26,12,7877.2,4,5,5,455,14,VIP
12429,9,4,3750.4,5,4,5,545,14,VIP
12430,43,1,256.4,3,1,2,312,6,Regular
12431,36,18,6348.89,3,5,5,355,13,VIP
12432,43,5,5059.32,3,4,5,345,12,VIP
12433,1,7,13375.87,5,4,5,545,14,VIP
12434,85,4,765.19,2,4,3,243,9,Loyal
12435,80,2,7829.89,2,2,5,225,9,Loyal
12436,100,1,509.01,2,1,3,213,6,Regular
12437,2,19,4896.66,5,5,5,555,15,VIP
12438,14,2,2906.85,4,2,5,425,11,Loyal
12441,367,1,173.55,1,1,1,111,3,At Risk
12442,3,1,172.06,5,1,1,511,7,Regular
12444,21,5,5005.46,4,4,5,445,13,VIP
12445,22,1,133.4,4,1,1,411,6,Regular
12446,58,1,1002.3100000000001,3,1,4,314,8,Regular
12447,243,1,476.49,1,1,3,113,5,At Risk
12448,44,1,449.45,3,1,2,312,6,Regular
12449,22,4,4067.29,4,4,5,445,13,VIP
12450,156,2,197.88,2,2,1,221,5,At Risk
12451,11,6,8933.52,5,4,5,545,14,VIP
12452,17,3,428.57,4,3,2,432,9,Loyal
12453,134,1,707.09,2,1,3,213,6,Regular
12454,53,2,5.684341886080802e-14,3,2,1,321,6,Regular
12455,73,6,2466.86,2,4,5,245,11,Loyal
12456,44,4,3153.89,3,4,5,345,12,VIP
12457,58,12,1917.78,3,5,4,354,12,VIP
12458,71,2,947.4,3,2,4,324,9,Loyal
12461,94,2,826.88,2,2,3,223,7,Regular
12462,2,4,1124.01,5,4,4,544,13,VIP
12463,46,7,1303.63,3,4,4,344,11,Loyal
12464,10,8,1212.05,5,5,4,554,14,VIP
12465,8,3,733.89,5,3,3,533,11,Loyal
12468,143,3,724.0400000000001,2,3,3,233,8,Regular
12471,2,49,18705.52,5,5,5,555,15,VIP
12472,31,13,6229.48,4,5,5,455,14,VIP
12473,29,9,2837.73,4,5,5,455,14,VIP
12474,17,30,7064.7699999999995,4,5,5,455,14,VIP
12475,54,1,723.38,3,1,3,313,7,Regular
12476,1,20,6546.58,5,5,5,555,15,VIP
12477,23,9,13117.01,4,5,5,455,14,VIP
12478,4,1,680.99,5,1,3,513,9,Loyal
12479,4,3,477.3,5,3,3,533,11,Loyal
12480,28,4,3281.63,4,4,5,445,13,VIP
12481,23,11,5574.36,4,5,5,455,14,VIP
12483,17,13,2327.13,4,5,5,455,14,VIP
12484,33,8,4480.87,3,5,5,355,13,VIP
12488,10,3,1298.66,5,3,4,534,12,VIP
12489,336,1,334.93,1,1,2,112,4,At Risk
12490,5,10,5417.93,5,5,5,555,15,VIP
12491,39,1,460.40000000000003,3,1,2,312,6,Regular
12492,63,2,263.21000000000004,3,2,2,322,7,Regular
12493,166,3,416.79,2,3,2,232,7,Regular
12494,10,13,1139.3500000000001,5,5,4,554,14,VIP
12497,82,1,1043.1,2,1,4,214,7,Regular
12498,21,3,403.70000000000005,4,3,2,432,9,Loyal
12500,23,13,4206.27,4,5,5,455,14,VIP
12501,315,2,2089.68,1,2,5,125,8,Regular
12502,96,5,3723.87,2,4,5,245,11,Loyal
12503,338,1,-1126.0,1,1,1,111,3,At Risk
12504,18,4,114.0,4,4,1,441,9,Loyal
12505,301,1,-4.5,1,1,1,111,3,At Risk
12506,233,1,73.5,1,1,1,111,3,At Risk
12507,134,4,1258.06,2,4,4,244,10,Loyal
12508,26,2,397.88,4,2,2,422,8,Regular
12509,284,1,176.5,1,1,1,111,3,At Risk
12510,143,2,982.5699999999999,2,2,4,224,8,Regular
12512,66,2,132.18,3,2,1,321,6,Regular
12513,85,2,586.79,2,2,3,223,7,Regular
12514,267,1,1017.68,1,1,4,114,6,Regular
12515,353,1,383.7,1,1,2,112,4,At Risk
12516,78,2,1312.06,2,2,4,224,8,Regular
12517,28,6,2443.65,4,4,5,445,13,VIP
12518,1,5,2056.89,5,4,5,545,14,VIP
12519,64,1,330.84,3,1,2,312,6,Regular
12520,79,6,2582.51,2,4,5,245,11,Loyal
12521,143,1,599.68,2,1,3,213,6,Regular
12522,39,2,192.72,3,2,1,321,6,Regular
12523,2,13,1745.57,5,5,4,554,14,VIP
12524,9,8,4485.72,5,5,5,555,15,VIP
12526,1,3,1316.66,5,3,4,534,12,VIP
12527,82,3,348.71000000000004,2,3,2,232,7,Regular
12528,9,8,1922.28,5,5,4,554,14,VIP
12530,60,5,1623.63,3,4,4,344,11,Loyal
12531,15,1,125.22,4,1,1,411,6,Regular
12532,30,1,349.83000000000004,4,1,2,412,7,Regular
12534,131,1,1089.18,2,1,4,214,7,Regular
12535,92,2,716.35,2,2,3,223,7,Regular
12536,8,5,4106.82,5,4,5,545,14,VIP
12538,29,1,363.95,4,1,2,412,7,Regular
